id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32949089,"Drottningholm, idyllic house near the royal castle",129180423,Bengt,,Bromma,59.32934,17.87309,Entire home/apt,2714,3,21,2022-06-06,0.54,1,47,7,
53896913,Cozy apartment on Lidingö island,436595430,Elzbieta Och Bill,,Östermalms,59.35708,18.13914,Entire home/apt,899,2,10,2022-06-10,1.71,1,216,10,
45785092,Kid-friendly home close to nature & Stockholm,34675082,Louise,,Östermalms,59.31718,18.17284,Entire home/apt,850,6,4,2022-01-02,0.36,1,11,4,
649994584179489675,"Modern stylish 1-bedroom apartment, quiet location",441235,Svetlana,,Spånga-Tensta,59.41088,17.86553,Entire home/apt,700,3,0,,,1,10,0,
4428712,Large house with pool and garden,22990869,Björn,,Östermalms,59.35474,18.13942,Entire home/apt,2673,7,18,2021-08-15,0.21,1,20,3,
9612455,Studio house in quiet area,3122568,Sverker,,Östermalms,59.38688,18.03823,Entire home/apt,600,3,2,2022-04-24,0.03,1,45,1,
636128244575780275,Cosy 2- bedroom guesthouse with free parking.,461226004,Nelson,,Enskede-Årsta-Vantörs,59.236694,18.019165,Entire home/apt,564,1,0,,,1,346,0,
42658293,Mini hotel with private rooms. Room no 13,182380970,Lasse,,Hässelby-Vällingby,59.39176,17.8437,Private room,300,2,9,2021-05-12,0.32,8,175,0,
42970862,Convenient Studio in Lindigö with Free parking,135323554,Andreas,,Östermalms,59.35993,18.13503,Entire home/apt,851,3,52,2022-06-20,2.32,20,268,37,
109193,Live by the ocean,564237,Lennart,,Östermalms,59.3164,18.16112,Entire home/apt,1800,10,30,2019-08-16,0.24,1,14,0,
47916784,Cosy apartment with balcony close to central,95171109,Robin,,Östermalms,59.38024,18.03923,Entire home/apt,1100,5,2,2021-08-14,0.19,3,88,2,
46822795,Apartment in a nice villa,10506850,Anders,,Älvsjö,59.25295,17.98705,Entire home/apt,340,2,9,2022-04-30,0.56,1,264,5,
32976888,Cosy apartment in unique & quiet area.,35445531,Charlotte,,Östermalms,59.35921,18.152,Entire home/apt,1200,7,3,2019-08-18,0.08,1,316,0,
17686831,Modern design villa with fireplaces,120478160,Sofia,,Älvsjö,59.2461,17.98027,Entire home/apt,2500,7,11,2019-10-02,0.18,1,155,0,
548924560490889412,Modern Studio Apartment Lidingö,432467663,Joel,,Östermalms,59.35085,18.14335,Entire home/apt,593,30,1,2022-06-11,1,7,348,1,
52158096,Room for two in Huddinge,33754200,Anni,,Enskede-Årsta-Vantörs,59.24289,17.99567,Private room,400,4,0,,,1,89,0,
33840256,Family house close to the water and Stockholm city,40982133,Hanna,,Skärholmens,59.30498,17.87195,Entire home/apt,4000,5,5,2021-08-13,0.14,1,177,3,
53526045,Secondary unit with own entrance,271310035,Brenda,,Enskede-Årsta-Vantörs,59.25543,18.00698,Entire home/apt,640,1,2,2022-01-02,0.33,1,351,2,
574533870406749988,Apartment in Stockholm - 10 min from the city,174138542,Joakim,,Bromma,59.36226,17.99544,Entire home/apt,1500,2,0,,,1,323,0,
18623427,Comfy room very near stockholm & karolinska inst.,16326626,Laura (Laurici),,Bromma,59.35333,18.00228,Private room,500,2,93,2022-06-17,1.54,2,66,22,
39498846,Cozy high end mini villa in nice neighbourhood.,276444969,Soma,,Skärholmens,59.27099,17.92611,Entire home/apt,1300,4,2,2022-05-30,0.06,1,176,1,
42803364,J Newport Large @ HotelJ,335335612,Hotel J,,Östermalms,59.31766,18.16487,Private room,1890,1,0,,,6,228,0,
621413667304552476,Trevlig villa med bubbelpool och sjöutsikt.,16909848,Hanna,,Skärholmens,59.280609,17.853592,Entire home/apt,3000,3,1,2022-06-06,1,1,269,1,
42679465,J Seaview Superior @ Hotel J,335335612,Hotel J,,Östermalms,59.31941,18.16371,Private room,1790,1,0,,,6,148,0,
637577600894126355,Villa med spafaciliteter och härlig trädgård,18136197,Ebba,,Enskede-Årsta-Vantörs,59.25742,18.0077,Entire home/apt,2600,1,1,2022-06-17,1,1,56,1,
628224345776829758,Ljus våning vid badsjö 15 min till Stockholm City,11010259,Eva-Kristin,,Farsta,59.22891,18.12298,Entire home/apt,1898,7,1,2022-06-10,1,1,92,1,
31372234,Twin Studio Apartment,362541894,ApartDirect,,Bromma,59.35571,17.9975,Hotel room,838,2,31,2022-06-11,0.86,21,172,14,
50395907,"Stuga i Nacka nära Stockholm, samt bad & natur",362592818,Annika,,Skarpnäcks,59.25431,18.18586,Entire home/apt,700,3,1,2021-07-21,0.09,1,53,1,
23952096,"Charming Studio flat in Sollentuna, Stockholm",69949059,Michael,,Rinkeby-Tensta,59.40943,17.96925,Entire home/apt,504,1,47,2022-06-04,0.93,1,306,25,
36706190,"🌟5-Star Family Home, Lake, Sauna, Bikes 10min—City",3557206,Tomer,,Östermalms,59.35108,18.16457,Entire home/apt,106911,1,30,2022-01-02,0.86,3,137,7,
25087757,Cozy Studio Apartment 12min from Stockholm C,29135325,Samsam,,Bromma,59.37487,17.96847,Entire home/apt,424,5,23,2022-05-15,0.54,1,94,2,
12900855,Penthouse apartment in Stockholm,24481606,Karin,,Östermalms,59.38138,18.02925,Entire home/apt,800,2,28,2020-01-06,0.38,1,20,0,
24385624,Lovely little house with garden 15 min from center,2345709,Samuel & Åsa,,Spånga-Tensta,59.40756,17.87323,Entire home/apt,803,2,158,2022-06-14,3.13,2,292,57,
39453408,"Mini hotel with private rooms, room no 11",182380970,Lasse,,Spånga-Tensta,59.39286,17.84608,Private room,310,2,9,2022-02-19,0.29,8,175,6,
586019241068617549,Mysigt och modernt gästhus med kök och badrum,450279443,Jerker,,Rinkeby-Tensta,59.41948,17.95333,Entire home/apt,550,1,3,2022-05-15,1.32,1,103,3,
589608037872298701,Luxury Business Studio Apartment Street View,445652307,City Living,,Bromma,59.377983,17.969233,Entire home/apt,1037,1,0,,,13,301,0,
43936494,Bo bekvämt 17 Min från Sthlm City!,351810596,Kouroche,,Spånga-Tensta,59.4022,17.8654,Entire home/apt,345,7,9,2021-09-25,0.37,1,1,2,
24887792,Large house-like flat with garden at Drottningholm,8938493,Elias,,Bromma,59.32545,17.88549,Entire home/apt,3900,7,0,,,1,212,0,
38901053,Separat lägenhet i attraktiv villa,297138011,Henrik,,Enskede-Årsta-Vantörs,59.2549,18.0158,Entire home/apt,990,5,30,2022-06-19,0.92,1,307,11,
22413952,Great Location in Solna - Unique Top Duplex Apt,101108599,Mona,,Bromma,59.35599,17.98584,Entire home/apt,813,14,0,,,2,49,0,
24616956,Villa i natursköna och stadsnära Älta,186039203,Lisa,,Skarpnäcks,59.25544,18.18297,Entire home/apt,1600,4,5,2022-06-13,0.14,1,10,3,
11298952,Private house close to Sthlm city,23125627,Mikael,,Östermalms,59.36142,18.12549,Entire home/apt,1490,7,25,2022-06-19,0.35,1,21,5,
35899417,Luxuary studioapartment in hotel #19,234039240,Hoom,,Hässelby-Vällingby,59.40673,17.82138,Entire home/apt,850,1,14,2022-06-18,0.38,27,245,5,
34338728,"Apartment in Lidingö, 15min from central Stockholm",74958944,Niklas,,Östermalms,59.36028,18.13501,Entire home/apt,641,12,14,2022-06-17,0.40,1,123,7,
